jahr ;wettbewerb;klasse;gesch;Start;team;Start Pos 1;Start Pos 2;Start Pos 3;Start Pos 4;nach Start 1;nach Start 2;nach Start 3;nach Start 4;Garde 1;Garde 2;Garde 3;Garde 4;Ziel 1;Ziel 2;Ziel 3;Ziel 4;Link;;;;;A Gewinnt;B Gewinnt;C Gewinnt;D Gewinnt;Nach Start 1;Nach Start 2;Nach Start 3;Nach Start 4;Zielgrade 1;Zielgrade 2;Zielgrade 3;Zielgrade 4
2019;WM;Sen;m;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;d;c;Team ;https://www.youtube.com/watch?v=ZYAxG-VKzrM;;;;1;;;;1;;;;1;;;
2019;WM;jun;m;;;a;b;c;d;a;b;d;c;b;a;d;c;b;a;d;c;fehler aufzeigen;https://www.youtube.com/watch?v=jWn1--1ep1k;;;;;1;;;;1;;;1;;;
2019;WM;Sen;w;;;a;b;c;d;a;d;b;c;a;b;c;d;b;a;c;d;;https://www.youtube.com/watch?v=d_I1HMK03Dk;;;;;1;;;;;1;;;1;;
2019;WM;jun;w;;;a;b;c;d;b;c;a;d;a;b;d;c;a;b;d;c;;https://www.youtube.com/watch?v=kgESe6QsgWE;;;;1;;;;;;1;;1;;;
2018;WM;Sen;m;;;a;b;c;d;a;c;d;b;a;c;d;b;a;c;d;b;Team Start intresant;https://www.youtube.com/watch?v=MDuT9MedIhE;;;;1;;;;1;;;;1;;;
2018;WM;Sen;w;;;a;;c;d;a;d;c;;d;c;a;;d;c;a;;überholen in der Kurve;https://www.youtube.com/watch?v=nopOUxpPzWk;;;;;;;1;;1;;;1;;;
2018;WM;jun;w;;;a;b;c;d;a;c;b;d;c;b;a;d;c;b;a;d;;https://www.youtube.com/watch?v=GPChFGsVR-8;;;;;;1;;;1;;;1;;;
2018;WM;jun;m;;;a;b;c;d;a;c;d;b;d;a;b;c;d;a;b;c;;https://www.youtube.com/watch?v=WNvzFepRGVE;;;;;;;1;;;1;;1;;;
2017;World Games;Sen;m;a b c d;a b c d;a;b;c;d;a;c;b;d;a;c;b;d;a;c;b;d;sturtz wie man nicht in der Kurve überholt;https://www.youtube.com/watch?v=dz2nYHezgkI;;;;1;;;;1;;;;1;;;
2017;World Games;Sen;w;a b c d;a c b d;a;b;c;d;a;c;b;d;a;c;b;d;a;b;c;d;team;https://www.youtube.com/watch?v=dz2nYHezgkI;;;;1;;;;1;;;;1;;;
2016;WM;Sen;m;;;a;b;c;d;a;c;b;d;c;d;a;b;d;c;a;b;Spannend viel überholungen ;https://www.youtube.com/watch?v=yLzP9fLFw7c;;;;;;;1;;;;1;;1;;
2016;WM;jun;m;a b c d;a b c d;a;b;c;d;a;b;d;c;a;b;d;c;a;b;d;c;;https://www.youtube.com/watch?v=P0eoPieyEGg;;;;1;;;;1;;;;1;;;
2016;WM;Sen;w;;;a;b;c;d;a;b;c;d;b;c;a;d;b;c;a;d;;https://www.youtube.com/watch?v=NnB0iN4jfK8;;;;;1;;;;1;;;1;;;
2016;WM;Sen;w;;;a;b;c;d;a;c;d;b;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=oNO81J0bM_c;https://www.youtube.com/watch?v=oNO81J0bM_c;;;;1;;;;1;;;;1;;;
2015;WM;jun;w;;;a;b;c;d;a;b;c;d;a;c;b;d;a;c;b;d;https://www.youtube.com/watch?v=6IX8fXkjKvU;https://www.youtube.com/watch?v=6IX8fXkjKvU;;;;1;;;;1;;;;1;;;
2015;WM;Sen;w;;;a;b;c;d;b;c;d;a;d;a;c;b;d;a;c;b;https://youtu.be/6IX8fXkjKvU?t=153;https://youtu.be/6IX8fXkjKvU?t=153;;;;;;;1;;;1;;1;;;
2015;WM;Sen;m;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;d;c;https://www.youtube.com/watch?v=6IX8fXkjKvU;https://www.youtube.com/watch?v=6IX8fXkjKvU;;;;1;;;;1;;;;1;;;
2014;WM;jun;w;;;a;b;c;d;b;c;d;a;b;a;c;d;b;a;c;d;https://www.youtube.com/watch?v=OG7C11AnRWQ;https://www.youtube.com/watch?v=OG7C11AnRWQ;;;;;1;;;1;;;;1;;;
2013;WM;Sen;m;;;a;b;c;d;b;d;a;b;c;d;a;b;c;d;a;b;https://www.youtube.com/watch?v=O6ZYvAKvaeI&t=43s;https://www.youtube.com/watch?v=O6ZYvAKvaeI&t=43s;;;;;;1;;;;;;1;;;
2013;WM;Sen;w;;;a;b;c;d;a;b;d;c;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=9scs7H0an2o;https://www.youtube.com/watch?v=9scs7H0an2o;;;;1;;;;1;;;;1;;;
2013;WM;jun;m;;;a;b;c;d;a;b;d;c;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=nyLJyflUjPM;https://www.youtube.com/watch?v=nyLJyflUjPM;;;;1;;;;1;;;;1;;;
2013;WM;jun;w;;;a;b;c;d;a;c;b;d;c;b;a;d;c;b;a;d;https://www.youtube.com/watch?v=GPChFGsVR-8;https://www.youtube.com/watch?v=GPChFGsVR-8;;;para;;;1;;;1;;;1;;;
2012;WM;jun;w;;;a;b;c;d;b;c;b;d;b;c;b;d;b;c;b;d;https://www.youtube.com/watch?v=6IX8fXkjKvU;https://www.youtube.com/watch?v=6IX8fXkjKvU;;;;;1;;;1;;1;;1;;1;
2012;WM;jun;w;;;a;b;c;d;b;a;c;d;b;d;a;c;b;d;a;c;https://www.youtube.com/watch?v=ZN1ADcR01Qw;https://www.youtube.com/watch?v=ZN1ADcR01Qw;;;;;1;;;1;;;;1;;;
2012;WM;jun;m;;;a;b;c;d;a;b;c;d;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=ZN1ADcR01Qw;https://www.youtube.com/watch?v=ZN1ADcR01Qw;;;;1;;;;1;;;;1;;;
2012;WM;Sen;m;;;a;b;c;d;a;c;b;d;a;c;b;d;a;c;b;d;https://www.youtube.com/watch?v=wkGwzmChm-Q&t=295s;https://www.youtube.com/watch?v=wkGwzmChm-Q&t=295s;;;;1;;;;1;;;;1;;;
2011;WM;Sen;w;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=zOh5CFvKAJM;https://www.youtube.com/watch?v=zOh5CFvKAJM;;;;1;;;;1;;;;1;;;
2011;WM;Sen;m;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=UkQrxb-iGkI;https://www.youtube.com/watch?v=UkQrxb-iGkI;;;;1;;;;1;;;;1;;;
2019;EM;jun;m;;;a;b;c;d;c;a;b;d;c;a;b;d;c;a;b;d;https://www.youtube.com/watch?v=298i89uy8eA;https://www.youtube.com/watch?v=298i89uy8eA;;;;;;1;;1;;;;1;;;
2019;EM;sen;m;;;a;b;c;d;a;b;d;c;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=LGQid8LPhuI;https://www.youtube.com/watch?v=LGQid8LPhuI;;;;1;;;;1;;;;1;;;
2019;EM;sen;w;;;a;b;c;d;a;c;d;b;a;b;d;c;b;a;d;c;https://www.youtube.com/watch?v=uQkAMtdCLHc;https://www.youtube.com/watch?v=uQkAMtdCLHc;;;;;1;;;;;;1;;1;;
2019;EM;jun;w;;;a;b;c;d;a;d;c;b;a;d;c;b;a;d;c;b;https://www.youtube.com/watch?v=B9XoDsjEaeM;https://www.youtube.com/watch?v=B9XoDsjEaeM;;;;1;;;;1;;;;1;;;
2018;EM;Sen;m;;;a;b;c;d;d;b;a;c;d;a;b;c;a;d;b;c;https://www.youtube.com/watch?v=BWyk890tUQY;https://www.youtube.com/watch?v=BWyk890tUQY;;;;1;;;;;;1;;;1;;
2018;EM;jun;w;;;a;b;c;d;b;a;c;d;c;b;a;d;c;b;a;d;https://www.youtube.com/watch?v=JJiWlZLqet4;https://www.youtube.com/watch?v=JJiWlZLqet4;;;;;;1;;;;1;;1;;;
2018;EM;jun;m;;;a;b;c;d;a;b;c;d;b;a;c;d;b;a;c;d;https://www.youtube.com/watch?v=KKzif94mFhw;https://www.youtube.com/watch?v=KKzif94mFhw;;;;;1;;;;1;;;1;;;
2017;EM;jun;m;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=hMp95itlAEY;https://www.youtube.com/watch?v=hMp95itlAEY;;;;1;;;;1;;;;1;;;
2017;EM;jun;w;;;a;b;c;d;a;b;d;c;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=pfJaUoGMQ4E;https://www.youtube.com/watch?v=pfJaUoGMQ4E;;;;1;;;;1;;;;1;;;
2017;EM;sen;m;;;a;b;c;d;a;b;c;d;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=9pHhcpH2EtI;https://www.youtube.com/watch?v=9pHhcpH2EtI;;;;1;;;;1;;;;1;;;
2017;EM;sen;w;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=bO92JIa87Z4;https://www.youtube.com/watch?v=bO92JIa87Z4;;;;1;;;;1;;;;1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;22;8;5;4;24;6;7;2;35;4;1;0
